"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2015",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2015,1,GA,Total Electric Power Industry,Hydroelectric Conventional,267561.84
2015,1,GA,Total Electric Power Industry,Natural Gas,4303387.43
2015,1,GA,Total Electric Power Industry,Nuclear,2979307
2015,1,GA,Total Electric Power Industry,Other,162.06
2015,1,GA,Total Electric Power Industry,Petroleum,59365.27
2015,1,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,7832.36
2015,1,GA,Total Electric Power Industry,Other Biomass,33081.43
2015,1,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,347485.13
2015,1,GA,"Combined Heat and Power, Industrial Power",Total,411408.18
2015,1,GA,"Combined Heat and Power, Industrial Power",Coal,33547.24
2015,1,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,2113.61
2015,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas,22493.23
2015,1,GA,"Combined Heat and Power, Industrial Power",Other,162.06
2015,1,GA,"Combined Heat and Power, Industrial Power",Petroleum,24114.71
