YEAR	STATE	UNSUSTAINABLE	SUSTAINABLE	TOTAL GENERATION	
2011	OK	67331195.54	7274518.07	74605713.61	
2009	VT	6870	7275478	7282348	
2013	MA	25606427.68	7278593	32885020.68	
1992	ID	184233	7278771	7463004	
1999	ME	5286563	7387366	12673929	
2013	ND	27565150.66	7456522.07	35021672.73	
2012	CO	45056510.31	7500190.79	52556701.1	
2000	ME	6491517	7556430	14047947	
2004	ME	11503510	7595375	19098885	
1997	WI	43811588	7602420	51414008	
2003	MA	40779459	7605565	48385024	
1994	NE	14316586	7666545	21983131	
1993	NE	14948311	7812546	22760857	
2014	SD	3160732.5	7834507.26	10995239.76	
2002	MA	34172131	7855687	42027818	
2012	ND	28269215.25	7855943.61	36125158.86	
2011	MA	30194982.03	7859838.48	38054820.51	
2001	ID	1481293	7865648	9346941	
1993	KS	28837981	7904586	36742567	
2011	ND	27170947.48	7908952.62	35079900.1	
1996	MA	30027162	7926858	37954020	
1996	SD	2088604	7977670	10066274	
2009	MA	30913024	8053627	38966651	
2000	MA	30624013	8073868	38697881	
2005	MA	39429457	8085986	47515443	
1996	KS	31726319	8215837	39942156	
1994	MT	16902737	8250112	25152849	
2008	MA	34251121	8254357	42505478	
2012	ME	6172718.39	8255877.52	14428595.91	
2007	ME	7868548	8260019	16128567	
2010	ME	8733099	8285561	17018660	
1998	MA	37355952	8327664	45683616	
1992	MT	17505358	8394287	25899645	
2007	IA	41388360	8400857	49789217	
2012	NE	25811898.8	8405393.77	34217292.57	
1997	KS	29473149	8444336	37917485	
2004	MA	39031241	8469242	47500483	
2006	IA	37013529	8469933	45483462	
2009	ME	7860973	8488876	16349849	
1992	KS	23577954	8500539	32078493	
2005	ME	10340115	8503863	18843978	
2013	CO	44422433.66	8515002.25	52937435.91	
2014	ME	4728617.29	8520092.6	13248709.89	
1994	ID	197164	8529633	8726797	
1994	KS	29080958	8538911	37619869	
2006	ME	8214053	8602120	16816173	
2010	MA	34183378	8621446	42804824	
1994	NH	4716819	8745680	13462499	
2003	MT	17476267	8792459	26268726	
2012	MS	45778948.26	8805346.74	54584295	
2014	ND	27654500.43	8808007.24	36462507.67	
2014	MA	22297437.36	8821153.96	31118591.32	
2006	MA	36773263	8824512	45597775	
2008	ME	8264399	8830520	17094919	
2013	ME	5175267.51	8854770.1	14030037.61	
2011	ME	7109562.45	8864125.61	15973688.06	
2012	SD	3138575	8895631	12034206	
1996	CT	11286922	8924476	20211398	
1995	NE	16376526	8927774	25304300	
2004	MT	17847318	8941450	26788768	
2003	ID	1465226	8957709	10422935	
1997	SD	3437241	9012260	12449501	
2004	ID	1803162	9059877	10863039	
2003	NE	21384103	9071881	30455984	
2000	KS	35739739	9076166	44815905	
1991	NE	13908014	9092333	23000347	
2005	ID	1692466	9132518	10824984	
1999	KS	32901244	9168986	42070230	
2012	MA	26983796.46	9214325.03	36198121.49	
2005	KS	36604591	9258105	45862696	
2003	KS	37299518	9268042	46567560	
2011	SD	2722421.5	9276464	11998885.5	
