"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through July 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,CT,"Electric Generators, Independent Power Producers",Other Biomass,55847
2016,1,CT,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,22440
2016,1,CT,"Electric Generators, Electric Utilities",Total,5236
2016,1,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,4539
2016,1,CT,"Electric Generators, Electric Utilities",Natural Gas,0
2016,1,CT,"Electric Generators, Electric Utilities",Petroleum,697
2016,1,CT,"Electric Generators, Electric Utilities",Other Biomass,0
2016,1,DC,Total Electric Power Industry,Total,6070
2016,1,DC,Total Electric Power Industry,Natural Gas,6070
2016,1,DC,Total Electric Power Industry,Petroleum,0
2016,1,DC,Total Electric Power Industry,Other Biomass,0
2016,1,DC,"Combined Heat and Power, Commercial Power",Total,6070
2016,1,DC,"Combined Heat and Power, Commercial Power",Natural Gas,6070
2016,1,DC,"Combined Heat and Power, Commercial Power",Petroleum,0
2016,1,DC,"Combined Heat and Power, Electric Power",Total,0
2016,1,DC,"Combined Heat and Power, Electric Power",Other Biomass,0
2016,1,DE,Total Electric Power Industry,Total,527441
2016,1,DE,Total Electric Power Industry,Coal,130283
2016,1,DE,Total Electric Power Industry,Natural Gas,348580
2016,1,DE,Total Electric Power Industry,Other Gases,18672
2016,1,DE,Total Electric Power Industry,Petroleum,19995
2016,1,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,3088
2016,1,DE,Total Electric Power Industry,Other Biomass,6351
2016,1,DE,Total Electric Power Industry,Wind,471
2016,1,DE,"Combined Heat and Power, Industrial Power",Total,91982
2016,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas,72186
2016,1,DE,"Combined Heat and Power, Industrial Power",Other Gases,18672
2016,1,DE,"Combined Heat and Power, Industrial Power",Petroleum,0
2016,1,DE,"Combined Heat and Power, Industrial Power",Other Biomass,1124
2016,1,DE,"Combined Heat and Power, Commercial Power",Total,584
2016,1,DE,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,113
2016,1,DE,"Combined Heat and Power, Commercial Power",Wind,471
2016,1,DE,"Combined Heat and Power, Electric Power",Total,18697
2016,1,DE,"Combined Heat and Power, Electric Power",Coal,0
2016,1,DE,"Combined Heat and Power, Electric Power",Natural Gas,18407
2016,1,DE,"Combined Heat and Power, Electric Power",Petroleum,290
